id;reference;titre;original;auteurs;arrangement;lien;ton;tempo;status
;ABR-001v02;Abrite moi;Still;Reuben MORGAN;;;F;;actif
;ACC-001v01;Acclamons du nord;South To The North;Martin Smith;Stéphane QUERY;;G ;;actif
;ACE-001v01;A celui qui est assis;To Him who sits on the throne;Debbye GRAAFSMA;Josué ADELE;;C;;actif
;AJA-001v02;A Jamais;Forever;Chris TOMLIN;;;G => A ;122;actif
;ALA-001v01;A l'Agneau de Dieu;;Elisabeth BOURBOUZE;;;Dm;;actif
;ALA-002v01;A la croix je me prosterne;At the cross;D. ZSCHECH & R.MORGAN;Mighty to save;;E ;70;actif
;ALA-003v01;A l'Agneau sur son trône;;G. Elvey / R. Sailens;Josué ADELE;;C ;107;actif
;ALL-001v01;Alléluia, ton amour est là;Hallelujah;B. BROWN & B. DOERKSEN;;;G ;105;actif
;ALL-001v02;Alléluia, ton amour est là;Hallelujah;B. BROWN & B. DOERKSEN;Josué ADELE;;G ;105;actif
;ALL-002v01;Alléluia;Agnus Dei;M.W. SMITH;;;A ;72;actif
;ALL-005v01;Allons acclamer;Come, let us sing;Chris BOWATER;Guillaume REYNAUD;;Em ;110;actif
;ALL-006v01;Alléluia;Hallelujah;Marty Sampson & Jonas Myrin;Hillsong - For All You've Done;;C ;95;actif
;ALL-007v01;Alléluia;-;Dan LUITEN - Jérémie POULET;Seul ta grace;;D ;85;actif
;AMI-001v01;Ami de Dieu;Friend of God;M GUNGOR & I. HOUGHTON;Israel & New Breed;;C ;125;actif
;ATT-002v01;Attaché à la croix pour moi;;F.A. GRAVES;;;E ;66;actif
;AUD-001v01;Au dessus de tout;Above all;Lenny LEBLANC / Paul BALOCHE;Lenny LEBLANC-Paul BALOCHE;;A;;actif
;AUP-001v01;Auprès de Dieu;-;Charly & Isabelle SIOUNATH;C pour Toi;;A ;68;actif
;AUT-001v01;Autour de moi;All around;"C. Coffield; I. Houghton; A. Lindsey";;;Eb ;126;actif
;AUX-001v02;Aux quatre coins du monde;To the ends of the earth;J.HOUSTON & M. SAMPSON;United;;G ;76;actif
;AVE-001v01;Avec Dieu;Through our God;Dale GARRAT;Master Music;;C#m;;actif
;BEN-001v02;Béni soit ton nom;Blessed be your name;Matt REDMAN;arrangé par Anthony Evans;;F#m ;108;actif
;BEN-002v01;Béni soit le nom du Seigneur;Blessed be the name of the Lord;Clinton UTTERBACH;Josué ADELE;;F => G ;138;actif
;BEN-002v02;Béni soit le nom du Seigneur;Blessed be the name of the Lord;Clinton UTTERBACH;Stéphane QUERY;;A;;actif
;BEN-003v01;Béni soit le Roc;;Daniel GARDNER;;;F ;165;actif
;BIE-001v01;Bienvenue dans la famille du Seigneur;-;Jérémy MATTINA;Jérémy MATTINA;;C ;132;actif
;BIE-002v01;Bienvenue frères et soeurs;-;Josué ADELE;Josué ADELE;;F ;125;actif
;CEL-001v01;Célébrez;-;José ROVILLON;Aïnesis;;E ;104;actif
;CES-001v01;C'est ton amour;-;Paul ETTORI & Thierry NOEL;DIXIT;;Em;;actif
;CES-002v01;C'est si bon;-;Paul WILBUR;Maggie BLANCHARD;;Bm ;120;actif
;CHA-001v01;Chantons car Dieu est là;Sing Out;Paul BALOCHE / Ed KERR;Sing Out! - Ron Kenoly;;A ;;actif
;CHA-001v02;Chantons car Dieu est là;Sing Out;Paul BALOCHE / Ed KERR;Open the Eyes of my Heart - P. Baloche;;A ;;actif
;COM-001v04;Combien Dieu est grand;How great is our God;Chris TOMLIN;;;G ;98;actif
;CON-001v01;Conduis-moi;-;Dan LUITEN;;;D;;actif
;CRI-001v02;Cris de joie;Shout of joy;Paul BALOCHE;Paul BALOCHE;;D ;100;actif
;DAN-001v01;Dans mon âme un beau soleil brille;;G. ISELY / G. JAULNES;Sebastien Demrey / Jimmy Lahaie;;G ;96;actif
;DIE-001v02;Dieu Tu es bon;Lord you are good;Israel HOUGHTON;;;E ;126;actif
;DIE-001v03;Dieu Tu es bon;Lord you are good;Israel HOUGHTON;Lincoln  Brewster;;C ;126;actif
;DIE-001v04;Dieu Tu es bon;Lord you are good;Israel HOUGHTON;Lincoln  Brewster (partition);;E ;126;actif
;DIE-001v05;Dieu Tu es bon;Lord you are good;Israel HOUGHTON;Version lente du refrain;;C ;126;actif
;DIE-003v02;Dieu de miracles;Miracle Maker;Martin SMITH;The Mission Bell;;Cm ;78;actif
;DIE-004v02;Dieu tu es grand et digne;;S. Mc EWAN;Guillaume REYNAUD;;A ;77;actif
;DIE-004v03;Dieu tu es grand et digne;;S. Mc EWAN;Josué ADELE;;A ;77;actif
;DIE-005v01;Dieu tout puissant;How great Thou art;Stuart K HINE;Paul Baloche;;Bb ;108;actif
;DIE-007v01;Dieu est bon en tout temps;God is good all the time;Don MOEN;;;E;;actif
;DIE-008v01;Dieu d'éternité;Everlasting God;Brown Brenton, Ken Riley;;;Bb ;110;actif
;DIE-008v02;Dieu d'éternité;Everlasting God;Brown Brenton, Ken Riley;;;Bb ;110;actif
;DIE-009v01;Dieu est grand;God is great;Marty SAMPSON;Shout to the Lord - Hillsong;;A ;155;actif
